"id","name","orgId","siteId","accessPointType","extServicesState","createdAt","updatedAt","lockingMechanism","installationMethod","configuration","relayOnTime","invertRelayLogic"
1110,LIFT DOOR,712,807,2,in_sync,2021-11-19 14:17:23.799 +0530,2022-09-24 17:38:24.268 +0530,1,0,5,6,true
1121,Fire Exit Door 3rd FLOOR  R,25,33,1,in_sync,2021-11-24 03:26:31.400 +0530,2022-09-24 17:38:24.553 +0530,1,0,2,6,true
1111,LOBBY,712,807,2,in_sync,2021-11-19 14:19:12.149 +0530,2022-09-24 17:38:27.404 +0530,1,0,5,6,true
1114,Fire Exit Door 2 nd FLOOR,25,33,1,in_sync,2021-11-20 18:54:45.657 +0530,2022-09-24 17:38:30.055 +0530,1,0,2,6,true
1543,"5F Board Room",800,920,1,in_sync,2022-02-22 16:26:29.236 +0530,2022-09-24 17:40:11.629 +0530,1,0,1,6,true
1568,Main Door,811,932,3,in_sync,2022-03-03 13:01:07.865 +0530,2022-09-24 17:40:16.789 +0530,1,0,1,6,true
1576,Main Door,812,934,1,in_sync,2022-03-03 18:39:07.774 +0530,2022-09-24 17:40:13.991 +0530,1,0,2,6,true
1579,Back Door,404,428,1,in_sync,2022-03-05 18:19:29.794 +0530,2022-09-24 17:40:14.318 +0530,1,0,2,6,true
1550,Main Door,804,924,3,in_sync,2022-02-24 12:16:25.275 +0530,2022-09-24 17:40:19.091 +0530,1,0,1,6,true
1577,Machine One,814,936,1,in_sync,2022-03-05 15:05:29.649 +0530,2022-09-24 17:40:26.872 +0530,1,0,2,6,true
3478,TEST,2212,3866,3,create_pending,2022-11-10 17:46:43.174 +0530,2022-11-10 17:46:43.174 +0530,1,1,1,6,false
3574,FP Door,2231,3913,2,delete_failed,2022-11-21 12:35:51.681 +0530,2022-11-25 11:51:50.520 +0530,0,1,5,0,false
1113,Fire Exit DooR 1 St FLOOR,25,33,1,in_sync,2021-11-20 15:55:16.253 +0530,2022-09-24 17:38:29.213 +0530,1,0,2,6,true
1553,Fire Exit Door 7TH FLOOR  L,25,33,1,in_sync,2022-02-24 23:37:56.183 +0530,2022-09-24 17:40:13.268 +0530,1,0,2,6,true
1565,Demo device 1,809,930,1,in_sync,2022-03-02 15:33:30.394 +0530,2022-09-24 17:40:22.715 +0530,1,0,2,6,true
1580,HR Room,815,937,1,in_sync,2022-03-07 14:54:00.599 +0530,2022-09-24 17:40:27.115 +0530,1,0,2,6,true
350,Door Lock Demo,384,408,1,delete_failed,2021-07-20 22:25:56.940 +0530,2022-09-30 14:56:55.372 +0530,1,0,6,6,true
3580,Asokaa Developers ENTRY,2238,3922,3,in_sync,2022-11-22 16:31:52.782 +0530,2022-11-22 16:32:13.714 +0530,1,1,1,6,false
3581,Oakland,1429,3933,1,in_sync,2022-11-23 02:45:32.690 +0530,2022-11-23 02:45:43.437 +0530,2,1,4,6,false
3601,FIRST FLOOR SERVER-1 DOOR 1,2245,3936,1,create_pending,2022-11-23 18:04:41.960 +0530,2022-11-23 18:04:41.960 +0530,1,1,1,6,false
3578,"1001A029000092",25,28,1,in_sync,2022-11-22 11:04:08.527 +0530,2022-11-22 11:04:25.365 +0530,1,1,2,6,false
3232,Back stage -1,800,1233,1,in_sync,2022-10-07 03:15:48.077 +0530,2022-10-07 03:15:54.960 +0530,1,1,2,3,false
3233,Back stage -2,800,1233,1,in_sync,2022-10-07 05:17:19.476 +0530,2022-10-07 05:17:20.583 +0530,1,1,2,3,false
3234,"3rd Floor Board Room-02",800,1233,1,in_sync,2022-10-07 06:00:57.937 +0530,2022-10-07 06:00:58.860 +0530,1,1,1,3,false
3582,Brentwood,1429,3934,1,in_sync,2022-11-23 03:14:38.829 +0530,2022-11-23 03:14:39.486 +0530,2,1,4,6,false
3525,Office No W-3,2226,3894,1,create_pending,2022-11-17 16:40:37.928 +0530,2022-11-17 16:40:37.928 +0530,1,1,2,6,false
3571,Door1,2231,3913,1,in_sync,2022-11-21 12:18:11.813 +0530,2022-11-21 12:18:21.507 +0530,1,1,2,6,false
3572,DOOR2,2231,3913,1,in_sync,2022-11-21 12:25:53.521 +0530,2022-11-21 12:25:54.486 +0530,1,1,2,6,false
3579,Main Door,2226,3894,1,in_sync,2022-11-22 15:59:02.875 +0530,2022-11-22 15:59:32.983 +0530,1,1,2,6,false
3583,Hercules,1429,3935,1,in_sync,2022-11-23 03:59:15.046 +0530,2022-11-23 03:59:15.844 +0530,2,1,4,6,false
3593,R7D CENTER 2 DOOR 1,2245,3936,1,create_pending,2022-11-23 17:13:21.769 +0530,2022-11-23 17:13:21.769 +0530,1,1,1,6,false
3602,FF SERVER ROOM DOOR 2,2245,3936,1,create_failed,2022-11-23 18:08:43.995 +0530,2022-11-23 18:09:04.908 +0530,1,1,1,6,false
